,X,Y,Z,time,trace
0,0.0,0.0,2000.0,19967.0,1
1,1181.5989450727093,-432.25071529773095,2000.0,19977.0,1
2,2554.6981988691678,-700.7858993912793,2000.0,19987.0,1
3,3910.4320040881616,-982.960222354086,2000.0,19997.0,1
4,5292.6873734546425,-1272.9529201613836,2000.0,20007.0,1
5,6669.078435671127,-1540.3303046328067,2000.0,20017.0,1
6,7977.405786226274,-2026.6585499945957,2000.0,20027.0,1
7,9298.913162406734,-2504.020338423261,2000.0,20037.0,1
8,10670.740197757897,-2783.4096622596094,2000.0,20047.0,1
9,12035.71952307525,-3088.4015167076095,2000.0,20057.0,1
10,13408.164733005295,-3366.305279053403,2000.0,20067.0,1
11,14769.490948478977,-3672.927633708768,2000.0,20077.0,1
12,16142.372403444264,-3968.0099381786335,2000.0,20087.0,1
13,17519.232193727985,-4252.545681080217,2000.0,20097.0,1
14,18888.07642039101,-4542.460094896627,2000.0,20107.0,1
15,20294.541426973356,-4853.166926244558,2000.0,20117.0,1
16,21942.744045100295,-5204.278907343258,2000.0,20127.0,1
17,23916.067479415673,-5619.788750803534,2000.0,20137.0,1
18,26253.813282951163,-6107.883677132926,2000.0,20147.0,1
19,31490.708538604144,-7242.6528834324035,2000.0,20167.0,1
20,34095.08765495337,-7795.8186152706385,2000.0,20177.0,1
21,36711.94067769226,-8339.834009445603,2000.0,20187.0,1
22,39338.787020478,-8906.661813529394,2000.0,20197.0,1
23,41937.306715675564,-9472.867308405403,2000.0,20207.0,1
24,44569.493386313734,-10036.047114416064,2000.0,20217.0,1
25,47176.8511194674,-10584.213501467664,2000.0,20227.0,1
26,49792.48038802613,-11137.86296994442,2000.0,20237.0,1
27,52411.429046366065,-11706.860202101396,2000.0,20247.0,1
28,57810.4658124506,-11348.113295670963,2000.0,20267.0,1
29,60531.65062973811,-11164.204907879004,2000.0,20277.0,1
30,63240.33550719939,-10987.002267735028,2000.0,20287.0,1
31,65971.58109301447,-10802.121415188549,2000.0,20297.0,1
32,71405.48442225088,-10440.560410607477,2000.0,20317.0,1
33,74080.18630028561,-10968.604070936257,2000.0,20327.0,1
34,76765.20969351189,-11484.528682931425,2000.0,20337.0,1
35,79425.8727381634,-11993.348984671711,2000.0,20347.0,1
36,82117.93318090982,-12504.181000808225,2000.0,20357.0,1
37,84789.12538172961,-13017.18478964488,2000.0,20367.0,1
38,87460.55170787456,-13541.255933817169,2000.0,20377.0,1
39,98180.54521120731,-15594.70696876249,2000.0,20417.0,1
40,100852.95087435645,-16105.526136567369,2000.0,20427.0,1
41,103538.47708977199,-16619.438348890344,2000.0,20437.0,1
42,106209.10606558148,-17149.86999145476,2000.0,20447.0,1
43,106209.10606558148,-17149.86999145476,2000.0,20447.0,1
44,108895.37417914622,-17650.295392173037,2000.0,20457.0,1
45,111566.83258986229,-18178.999723527486,2000.0,20467.0,1
46,114297.13627539309,-18704.22716235591,2000.0,20477.0,1
47,117027.47399602101,-19217.10908034059,2000.0,20487.0,1
48,119735.1381380896,-19743.35304269127,2000.0,20497.0,1
49,122469.64922218405,-20280.938887264798,2000.0,20507.0,1
50,125195.30776549956,-20791.596308252465,2000.0,20517.0,1
51,127926.81905024408,-21317.863842595994,2000.0,20527.0,1
52,130656.61659425976,-21854.213969905915,2000.0,20537.0,1
53,133381.97917884617,-22372.238163491784,2000.0,20547.0,1
54,136098.61930314798,-22895.652771349993,2000.0,20557.0,1
55,138834.77107301977,-23429.549821350636,2000.0,20567.0,1
56,141552.44830887916,-23949.196296161812,2000.0,20577.0,1
57,144282.57822708442,-24472.162529525533,2000.0,20587.0,1
58,147018.27631753788,-24996.23477301478,2000.0,20597.0,1
59,152474.45192419802,-26050.134104351597,2000.0,20617.0,1
60,155204.7997688571,-26571.806364797307,2000.0,20627.0,1
61,157915.98323903655,-27101.661751983684,2000.0,20637.0,1
62,160701.71493808232,-27225.522117966753,2000.0,20647.0,1
63,163472.81284539093,-27379.380557338744,2000.0,20657.0,1
64,166288.2534226702,-27521.95250864825,2000.0,20667.0,1
65,169117.4212832113,-27665.69385384605,2000.0,20677.0,1
66,171927.12991346378,-27798.58240050771,2000.0,20687.0,1
67,174757.08805981453,-27929.164948231002,2000.0,20697.0,1
68,177584.24943652464,-28090.277742578714,2000.0,20707.0,1
69,180372.72123434086,-28214.60566626336,2000.0,20717.0,1
70,183172.91279888322,-28366.30853490986,2000.0,20727.0,1
71,185961.22352853458,-28497.980918419762,2000.0,20737.0,1
72,188780.67417384338,-28645.481520776524,2000.0,20747.0,1
73,191613.09352280304,-28776.935972575,2000.0,20757.0,1
